Address,URL
"3003 NE 20th St, Cape Coral, FL 33993",https://www.zillow.com/homedetails/3003-NE-20th-St-Cape-Coral-FL-33993/2053187672_zpid/
"4365 NW 34th Ave, Cape Coral, FL 33993",https://www.zillow.com/homedetails/4365-NW-34th-Ave-Cape-Coral-FL-33993/103223595_zpid/
"824 NW 28th Ave, Cape Coral, FL 33993",https://www.zillow.com/homedetails/824-NW-28th-Ave-Cape-Coral-FL-33993/103299841_zpid/
"3503 NW 45th St, Cape Coral, FL 33993",https://www.zillow.com/homedetails/3503-NW-45th-St-Cape-Coral-FL-33993/103336530_zpid/
"3622 NE 21st Pl, Cape Coral, FL 33909",https://www.zillow.com/homedetails/3622-NE-21st-Pl-Cape-Coral-FL-33909/66153628_zpid/
"1825 NW 7th Ave, Cape Coral, FL 33993",https://www.zillow.com/homedetails/1825-NW-7th-Ave-Cape-Coral-FL-33993/103391911_zpid/
"2108 NW 30th Ter, Cape Coral, FL 33993",https://www.zillow.com/homedetails/2108-NW-30th-Ter-Cape-Coral-FL-33993/66156988_zpid/
"4308 NW 37th Ave #12, Cape Coral, FL 33993",https://www.zillow.com/homedetails/4308-NW-37th-Ave-12-Cape-Coral-FL-33993/347185527_zpid/
"2117 NW 12th Ln, Cape Coral, FL 33993",https://www.zillow.com/homedetails/2117-NW-12th-Ln-Cape-Coral-FL-33993/103277677_zpid/
"2048 NE 28th St, Cape Coral, FL 33909",https://www.zillow.com/homedetails/2048-NE-28th-St-Cape-Coral-FL-33909/103258781_zpid/
"4327 NE 13th Pl, Cape Coral, FL 33909",https://www.zillow.com/homedetails/4327-NE-13th-Pl-Cape-Coral-FL-33909/66152627_zpid/
"4422 NE 21st Ave, Cape Coral, FL 33909",https://www.zillow.com/homedetails/4422-NE-21st-Ave-Cape-Coral-FL-33909/103305559_zpid/
"3700 NW 46th Ln, Cape Coral, FL 33993",https://www.zillow.com/homedetails/3700-NW-46th-Ln-Cape-Coral-FL-33993/103370763_zpid/
"4151 NW 38th Ave, Cape Coral, FL 33993",https://www.zillow.com/homedetails/4151-NW-38th-Ave-Cape-Coral-FL-33993/103268025_zpid/
"4334 NW 34th Ave, Cape Coral, FL 33993",https://www.zillow.com/homedetails/4334-NW-34th-Ave-Cape-Coral-FL-33993/103323633_zpid/
"1902 NE 12th Ln, Cape Coral, FL 33909",https://www.zillow.com/homedetails/1902-NE-12th-Ln-Cape-Coral-FL-33909/66147259_zpid/
"3818 NW 47th St, Cape Coral, FL 33993",https://www.zillow.com/homedetails/3818-NW-47th-St-Cape-Coral-FL-33993/103274626_zpid/
"3628 NE 17th Pl, Cape Coral, FL 33909",https://www.zillow.com/homedetails/3628-NE-17th-Pl-Cape-Coral-FL-33909/103279148_zpid/
"2915 Van Buren Pkwy, Cape Coral, FL 33993",https://www.zillow.com/homedetails/2915-Van-Buren-Pkwy-Cape-Coral-FL-33993/103307166_zpid/
"33 NW 33rd Ter, Cape Coral, FL 33993",https://www.zillow.com/homedetails/33-NW-33rd-Ter-Cape-Coral-FL-33993/103351230_zpid/
"1730 NW Juanita Pl #270, Cape Coral, FL 33993",https://www.zillow.com/homedetails/1730-NW-Juanita-Pl-270-Cape-Coral-FL-33993/405628609_zpid/
"3628 NE 17th Pl #29, Cape Coral, FL 33909",https://www.zillow.com/homedetails/3628-NE-17th-Pl-29-Cape-Coral-FL-33909/444733119_zpid/
"3700 NW 46th Ter #42, Cape Coral, FL 33993",https://www.zillow.com/homedetails/3700-NW-46th-Ter-42-Cape-Coral-FL-33993/2054322782_zpid/
"2028 NE 15th Ln, Cape Coral, FL 33909",https://www.zillow.com/homedetails/2028-NE-15th-Ln-Cape-Coral-FL-33909/66147405_zpid/
"1300 N Gator Cir, Cape Coral, FL 33909",https://www.zillow.com/homedetails/1300-N-Gator-Cir-Cape-Coral-FL-33909/66152617_zpid/
"3940 NW 40th Ln, Cape Coral, FL 33993",https://www.zillow.com/homedetails/3940-NW-40th-Ln-Cape-Coral-FL-33993/103296575_zpid/
"1612 NE 6th Pl, Cape Coral, FL 33909",https://www.zillow.com/homedetails/1612-NE-6th-Pl-Cape-Coral-FL-33909/103207805_zpid/
"808 NE 43rd Ln, Cape Coral, FL 33909",https://www.zillow.com/homedetails/808-NE-43rd-Ln-Cape-Coral-FL-33909/66152485_zpid/
"1404 NE 9th Pl, Cape Coral, FL 33909",https://www.zillow.com/homedetails/1404-NE-9th-Pl-Cape-Coral-FL-33909/103348431_zpid/
"3617 Durden Pkwy, Cape Coral, FL 33993",https://www.zillow.com/homedetails/3617-Durden-Pkwy-Cape-Coral-FL-33993/444482285_zpid/
"4119 NW 36th Pl, Cape Coral, FL 33993",https://www.zillow.com/homedetails/4119-NW-36th-Pl-Cape-Coral-FL-33993/103376071_zpid/
"21 NW 19th Pl, Cape Coral, FL 33993",https://www.zillow.com/homedetails/21-NW-19th-Pl-Cape-Coral-FL-33993/103198440_zpid/
"2719 NW 26th St, Cape Coral, FL 33993",https://www.zillow.com/homedetails/2719-NW-26th-St-Cape-Coral-FL-33993/103256695_zpid/
"2002 NE 6th Pl #37, Cape Coral, FL 33909",https://www.zillow.com/homedetails/2002-NE-6th-Pl-37-Cape-Coral-FL-33909/441218296_zpid/
"3218 NW 14th St #17, Cape Coral, FL 33993",https://www.zillow.com/homedetails/3218-NW-14th-St-17-Cape-Coral-FL-33993/446892188_zpid/
"216 NW 10th Ter, Cape Coral, FL 33993",https://www.zillow.com/homedetails/216-NW-10th-Ter-Cape-Coral-FL-33993/103345397_zpid/
"1013 NE 16th Ter, Cape Coral, FL 33909",https://www.zillow.com/homedetails/1013-NE-16th-Ter-Cape-Coral-FL-33909/66158535_zpid/
"2625 NW 26th Pl, Cape Coral, FL 33993",https://www.zillow.com/homedetails/2625-NW-26th-Pl-Cape-Coral-FL-33993/66157572_zpid/
"2906 NW 25th St, Cape Coral, FL 33993",https://www.zillow.com/homedetails/2906-NW-25th-St-Cape-Coral-FL-33993/103209328_zpid/
"2032 NW 4th St, Cape Coral, FL 33993",https://www.zillow.com/homedetails/2032-NW-4th-St-Cape-Coral-FL-33993/103234579_zpid/
"3213 Andalusia Boulevard, Cape Coral, FL 33909",https://www.zillow.com/homedetails/3213-Andalusia-Blvd-Cape-Coral-FL-33909/103259994_zpid/
